0	2.100265625000000e-01	134417	640000	
4.000000000000000	1.253500000000000e-01	80224	640000	
8.000000000000000	6.269218750000000e-02	40123	640000	
12.000000000000000	2.824322916666667e-02	54227	1920000	
16.000000000000000	1.192180851063830e-02	44826	3760000	
20.000000000000000	4.834316037735849e-03	40995	8480000	
24.000000000000000	1.947152509652510e-03	40345	20720000	
28.000000000000000	7.733410493827160e-04	40090	51840000	
32.000000000000000	3.115468750000000e-04	19939	64000000	
36.000000000000000	1.249687500000000e-04	7998	64000000	
40.000000000000000	4.929687500000000e-05	3155	64000000	
